Date,Open,High,Low,Close,%Change,Volume,# of Trades,Turnover (1000)
2019-12-11,257.0,259.4,253.0,253.0,-1.59,190835.0,3089.0,48565.17
2019-12-10,264.0,264.0,257.0,257.1,-2.58,137756.0,2033.0,35594.2
2019-12-09,262.4,263.9,257.5,263.9,1.0,93267.0,1538.0,24363.05
2019-12-06,261.5,264.3,258.1,261.3,-0.27,135204.0,2831.0,35189.36
2019-12-05,261.5,262.7,260.0,262.0,0.65,159737.0,2735.0,41742.41
2019-12-04,259.4,262.1,258.0,260.3,1.28,203230.0,3582.0,52849.42
2019-12-03,258.0,261.9,256.9,257.0,-0.19,210176.0,3231.0,54299.3
2019-12-02,264.0,264.9,253.8,257.5,-1.9,343806.0,5046.0,88833.1
2019-11-29,269.2,269.2,261.0,262.5,-2.49,245129.0,3191.0,64614.19
2019-11-28,268.0,269.2,266.8,269.2,0.3,60172.0,1119.0,16137.33
2019-11-27,267.5,268.4,265.1,268.4,0.71,131991.0,2225.0,35223.56
2019-11-26,266.8,268.0,263.8,266.5,0.19,410959.0,3229.0,109390.06
2019-11-25,267.0,267.9,263.6,266.0,0.0,110169.0,1957.0,29242.29
2019-11-22,265.9,268.9,261.7,266.0,0.99,209428.0,3522.0,55829.41
2019-11-21,267.0,267.4,260.0,263.4,-1.35,195382.0,2816.0,51355.23
2019-11-20,265.2,267.0,263.7,267.0,0.57,179338.0,2545.0,47641.47
2019-11-19,266.0,267.5,263.5,265.5,-0.08,131559.0,2235.0,34908.87
2019-11-18,264.9,265.7,263.2,265.7,1.22,121229.0,1851.0,32091.9
2019-11-15,261.4,264.9,260.6,262.5,0.57,178555.0,2867.0,46969.63
2019-11-14,266.2,266.4,258.6,261.0,-1.62,254642.0,4205.0,66587.59
2019-11-13,260.0,266.8,260.0,265.3,2.04,266317.0,3321.0,70582.46
2019-11-12,262.7,264.0,256.5,260.0,-0.31,305298.0,4918.0,79650.31
2019-11-08,266.0,266.0,260.8,260.8,-2.5,238840.0,3888.0,62692.64
2019-11-07,259.8,267.9,259.5,267.5,3.08,272481.0,4003.0,72206.45
2019-11-06,256.0,259.5,253.2,259.5,1.69,175238.0,3046.0,45208.37
2019-11-05,258.5,259.8,254.0,255.2,-1.2,213900.0,3627.0,55042.8
2019-11-04,256.8,258.7,253.9,258.3,2.46,262328.0,4538.0,67393.4
2019-10-31,254.3,257.0,250.3,252.1,-0.87,197305.0,3227.0,49807.87
2019-10-30,245.1,254.3,245.1,254.3,3.37,323952.0,3497.0,81043.12
2019-10-29,245.0,248.3,244.6,246.0,0.45,237343.0,2893.0,58519.94
2019-10-28,242.5,244.9,242.4,244.9,1.03,67251.0,1432.0,16367.93
2019-10-25,241.9,244.5,240.5,242.4,0.21,135150.0,2403.0,32726.42
2019-10-24,237.0,243.6,235.6,241.9,2.76,264820.0,4597.0,63600.68
2019-10-23,234.8,236.5,233.3,235.4,0.34,98153.0,1504.0,23071.79
2019-10-22,233.0,237.0,231.1,234.6,0.69,174993.0,2675.0,40937.74
2019-10-21,237.5,238.6,232.0,233.0,-0.85,99468.0,2008.0,23244.33
2019-10-18,235.0,238.4,232.7,235.0,0.13,104610.0,1984.0,24650.05
2019-10-17,240.6,242.3,234.7,234.7,-2.61,231588.0,3640.0,54771.06
2019-10-16,246.9,246.9,240.8,241.0,-2.35,134797.0,2352.0,32817.83
2019-10-15,244.0,248.3,243.1,246.8,1.56,151073.0,2356.0,37136.85
2019-10-14,238.2,243.0,234.0,243.0,2.53,136976.0,1674.0,32945.02
2019-10-11,232.9,237.6,232.0,237.0,2.82,166415.0,2098.0,39253.11
2019-10-10,239.0,239.5,230.0,230.5,-3.23,236345.0,2927.0,55080.16
2019-10-09,235.0,238.6,233.3,238.2,2.14,111640.0,2009.0,26416.26
2019-10-08,237.8,237.9,231.0,233.2,-1.19,211101.0,3076.0,49412.47
2019-10-07,239.8,240.9,236.0,236.0,-1.13,130505.0,1657.0,30981.03
2019-10-04,239.5,244.0,236.6,238.7,-0.13,156806.0,2719.0,37516.53
2019-10-03,233.0,240.7,233.0,239.0,2.01,146034.0,2568.0,34690.61
2019-10-02,240.1,240.2,234.0,234.3,-2.7,216796.0,3158.0,51169.89
2019-10-01,244.1,245.0,237.9,240.8,-1.07,339753.0,4364.0,81846.02
2019-09-30,245.6,245.6,242.0,243.4,-0.69,124748.0,1343.0,30367.17
2019-09-27,247.3,247.9,244.4,245.1,-1.17,65827.0,1211.0,16170.85
2019-09-26,245.0,248.2,245.0,248.0,1.27,87809.0,1250.0,21712.09
2019-09-25,249.0,249.0,241.1,244.9,-1.45,141231.0,1790.0,34547.7
2019-09-24,243.7,248.5,242.3,248.5,2.1,200623.0,1785.0,49712.33
2019-09-23,244.1,247.0,236.4,243.4,-0.29,218745.0,3461.0,52585.24
2019-09-20,246.0,247.1,240.8,244.1,-0.29,433734.0,5254.0,105565.67
2019-09-19,245.5,247.8,243.8,244.8,-0.24,139712.0,2222.0,34234.48
2019-09-18,249.8,250.2,244.5,245.4,-1.84,276667.0,3658.0,68226.19
2019-09-17,250.2,250.7,248.5,250.0,-0.24,147640.0,2055.0,36872.75
2019-09-16,248.5,253.6,247.3,250.6,0.76,258633.0,3237.0,65041.23
2019-09-13,251.0,253.0,248.0,248.7,-0.92,169211.0,2557.0,42235.88
2019-09-12,254.0,254.7,249.0,251.0,-0.4,173825.0,3017.0,43724.54
2019-09-11,250.0,253.9,249.5,252.0,1.2,234886.0,4311.0,59262.97
2019-09-10,260.0,260.9,247.5,249.0,-4.23,411902.0,5744.0,104053.18
2019-09-09,256.8,261.7,256.5,260.0,1.76,295148.0,5213.0,76553.88
2019-09-06,253.3,255.7,251.0,255.5,1.43,201971.0,2615.0,51404.62
2019-09-05,253.0,254.8,250.8,251.9,0.24,220216.0,2522.0,55617.23
2019-09-04,250.5,254.2,250.2,251.3,0.88,287683.0,4019.0,72381.5
2019-09-03,249.7,250.5,246.4,249.1,-0.36,187927.0,2753.0,46744.44
2019-09-02,253.0,253.9,247.6,250.0,-1.19,191336.0,3098.0,47856.18
2019-08-30,250.0,259.8,249.2,253.0,1.93,807671.0,9723.0,206148.74
2019-08-29,242.0,248.2,241.0,248.2,2.31,329680.0,4591.0,80999.42
2019-08-28,245.7,246.6,239.8,242.6,-1.06,256208.0,3406.0,62326.38
2019-08-27,241.0,246.9,240.4,245.2,1.7,574986.0,6580.0,140601.14
2019-08-26,236.0,241.5,234.8,241.1,0.29,183084.0,3693.0,43909.56
2019-08-23,240.0,241.5,235.9,240.4,0.42,205711.0,3265.0,49148.85
2019-08-22,238.0,240.9,234.2,239.4,0.59,402617.0,4394.0,96011.76
